## dioPeriod = 1.0
## numSharedSlots = 1
## minRssi = -97
## numMotes = 100
## topPdrThreshold = 1.5
## otfHousekeepingPeriod = 5.0
## noRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## opportunist = False
## squareSide = 1.0
## combinationKeys = ['numCyclesPerRun', 'numMotes', 'pkPeriod']
## topology = False
## processID = None
## rw = None
## pkPeriodVar = 0.05
## numCyclesPerRun = 1000
## bootstrap = False
## startTime = 1490802271.33
## queuing = 0
## pkPeriod = 10.0
## numRuns = 1
## idealAllocation = False
## slotDuration = 0.01
## noTopHousekeeping = 0
## numPacketsBurst = None
## otfThreshold = 0
## noInterference = 0
## burstTime = 20.0
## gui = False
## topHousekeepingPeriod = 1.0


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay chargeConsumed collidedAnswers collidedControls collidedRequests collidedTxs controlPacketsReceived controlPacketsSent cycle droppedAppFailedEnqueueControl droppedAppFailedEnqueueData droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedControls effectiveCollidedTxs numRxCells numTx numTxCells openSlotCollision otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells transactionAborted txQueueFill
             0                 0          0       0          0             0              0               0                0                0           0                      0                  0     0                              0                           0                 0              0                0                0                         0                    0          0     0          0                 0      0         0                  0                 0                  0            0        0        0      0                  0                   0                     0                   0                  0           0
             9                 1          2   2.000     17.000        66.000       5376.400               0                0                0           5                      0                  0     1                              0                           0                 0              0                0                0                         0                    0         99     5         99                 0    114         0                  0               319                435           20     1690      100      0                  3                   0                     0                   0                  0           8
            15                 8          9   1.375     62.875       645.000      12522.120               0                0                0           5                      0                  0     2                              0                           0                 0              0                0                0                         0                    0         99    26         99                 0    194         0                  0                 3                540           16     1690      100      0                  3                   0                     0                   0                  0          15
            10                 3          9   1.667     98.333       935.000      19147.060               0                0                0           5                      0                  0     3                              0                           0                 0              0                0                0                         0                    0         99    43         99                 0    195         0                  0                 6                533           65     1690      100      0                  3                   0                     0                   0                  0          22
            12                 7          9   1.429    135.000      1599.000      26175.660               0                0                0           5                      0                  0     4                              0                           0                 0              0                0                0                         0                    0         99    63         99                 0    201         0                  0                 1                526           54     1689      100      0                  3                   0                     0                   0                  0          27
             4                 4         14   2.000    270.750      1874.000      33308.860               0                0                0           5                      0                  0     5                              0                           0                 0              0                0                0                         0                    0         99    83         99                 0    200         0                  0                 5                533           68     1690      100      0                  3                   0                     0                   0                  0          27
            13                 4          6   1.500    228.500      1333.000      39699.560               0                0                0           5                      0                  0     6                              0                           0                 0              0                0                0                         0                    0         99    98         99                 0    201         0                  0                 0                519           56     1690      100      0                  3                   0                     0                   0                  0          36
            12                 6         11   1.167    206.333      1850.000      46999.520               0                0                0           5                      0                  0     7                              0                           0                 0              0                0                0                         0                    0        100   121        100                 0    201         0                  0                 3                535           52     1690      100      0                  3                   0                     0                   0                  2          42
             8                 8         16   2.125    315.375      3286.000      55038.880               0                0                0           9                      0                  0     8                              0                           0                 0              0                0                0                         0                    0        102   135        102                 0    199         0                  0                 1                553           55     1690      100      0                  5                   0                     0                   0                 14          42
            12                 7          7   2.286    378.571      2583.000      61907.040               0                0                0           9                      0                  0     9                              0                           0                 0              0                0                0                         0                    0        102   152        102                 0    184         0                  0                 1                561           81     1690      100      0                  5                   0                     0                   0                  2          47
